club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status,Year
Albacete Balompié,Antonio Pinilla,21.0,Spain,Left Winger,LW,,RCD Mallorca,Spain,0.0,in,summer,Laliga,1992,False,,1992
Albacete Balompié,Antônio Carlos Zago,23.0,Brazil,Centre-Back,CB,,São Paulo,Brazil,0.0,in,summer,Laliga,1992,False,,1992
Albacete Balompié,Jesús Unanua,23.0,Spain,Goalkeeper,GK,,CA Osasuna,Spain,,in,summer,Laliga,1992,False,,1992
Albacete Balompié,Miguel Bossio,32.0,Uruguay,midfield,midfield,,CE Sabadell,Spain,,in,summer,Laliga,1992,False,,1992
Albacete Balompié,Rommel Fernández,26.0,Panama,attack,attack,,Valencia,Spain,,in,summer,Laliga,1992,False,,1992
Albacete Balompié,Armando Tejera,24.0,Spain,Centre-Back,CB,,UD Las Palmas,Spain,,in,summer,Laliga,1992,False,,1992
Albacete Balompié,Raul Ricardo dos Santos,25.0,Uruguay,attack,attack,,Defensor,Uruguay,,in,summer,Laliga,1992,False,,1992
Albacete Balompié,Pedro Cordero,23.0,Spain,midfield,midfield,,Cartagena FC,Spain,,in,summer,Laliga,1992,False,,1992
Albacete Balompié,Gabelo Conejo,32.0,Costa Rica,Goalkeeper,GK,,Unknown,,,out,summer,Laliga,1992,False,,1992
Albacete Balompié,Marco Etcheverry,21.0,Bolivia,Attacking Midfield,AM,,Colo Colo,Chile,,out,summer,Laliga,1992,False,,1992
Albacete Balompié,Daniel Aquino,27.0,Argentina,attack,attack,,CP Mérida,Spain,,out,summer,Laliga,1992,False,,1992
Albacete Balompié,Juan José Juárez,30.0,Spain,defence,defence,,Real Murcia,Spain,,out,summer,Laliga,1992,False,,1992
Albacete Balompié,Pedro Parada,27.0,Spain,midfield,midfield,,CP Mérida,Spain,,out,summer,Laliga,1992,False,,1992
Albacete Balompié,Ismael Urzaiz,20.0,Spain,Centre-Forward,CF,,Real Madrid,Spain,0.0,out,summer,Laliga,1992,True,end of loan,1992
Albacete Balompié,Nenad Bjelica,21.0,Croatia,Central Midfield,CM,,NK Osijek,Croatia,,in,winter,Laliga,1992,False,,1992
Athletic Bilbao,Patxi Salinas,28.0,Spain,Centre-Back,CB,,Celta de Vigo,Spain,,out,summer,Laliga,1992,False,,1992
Athletic Bilbao,Crescencio Cuéllar,22.0,Spain,attack,attack,,SD Eibar,Spain,,out,summer,Laliga,1992,False,,1992
Athletic Bilbao,Patxi Iru,29.0,Spain,Goalkeeper,GK,,CA Osasuna,Spain,,out,summer,Laliga,1992,False,,1992
Athletic Bilbao,Luis Fernández,27.0,Spain,midfield,midfield,,Burgos CF,Spain,,out,summer,Laliga,1992,False,,1992
Athletic Bilbao,Ismael Urtubi,31.0,Spain,Left Midfield,LM,,Unknown,,,out,summer,Laliga,1992,False,,1992
Atlético Madrid,Luis García,23.0,Mexico,attack,attack,,UNAM Pumas,Mexico,,in,summer,Laliga,1992,False,,1992
Atlético Madrid,Losada,24.0,Spain,attack,attack,,Sevilla FC,Spain,,out,summer,Laliga,1992,False,,1992
Atlético Madrid,Miquel Soler,27.0,Spain,Left-Back,LB,,FC Barcelona,Spain,,out,summer,Laliga,1992,False,,1992
Atlético Madrid,Pizo Gómez,28.0,Spain,midfield,midfield,,Rayo Vallecano,Spain,0.0,out,summer,Laliga,1992,True,free loan,1992
Atlético Madrid,Vladan Lukic,22.0,Serbia,Centre-Forward,CF,,Red Star,Serbia,,in,winter,Laliga,1992,False,,1992
Atlético Madrid,José Luis Villarreal,26.0,Argentina,Defensive Midfield,DM,,Boca Juniors,Argentina,,in,winter,Laliga,1992,False,,1992
Atlético Madrid,Fernando Moner,25.0,Argentina,Left-Back,LB,,Yokohama Flüg.,Japan,,out,winter,Laliga,1992,False,,1992
Burgos CF,Michel Boerebach,29.0,Netherlands,midfield,midfield,,Roda JC,Netherlands,364000.0,in,summer,Laliga,1992,False,,1992
Burgos CF,Luis Fernández,27.0,Spain,midfield,midfield,,Athletic,Spain,,in,summer,Laliga,1992,False,,1992
Burgos CF,Miguel Tendillo,31.0,Spain,Centre-Back,CB,,Real Madrid,Spain,,in,summer,Laliga,1992,False,,1992
Burgos CF,Sebastián Herrera,23.0,Spain,Centre-Back,CB,,FC Barcelona,Spain,0.0,in,summer,Laliga,1992,True,free loan,1992
Burgos CF,Iñaki,22.0,Spain,Goalkeeper,GK,,Sestao Sport,Spain,,in,summer,Laliga,1992,False,,1992
Burgos CF,Ivica Barbaric,30.0,Bosnia-Herzegovina,midfield,midfield,,Racing,Spain,,out,summer,Laliga,1992,False,,1992
Burgos CF,Predrag Juric,30.0,Croatia,attack,attack,,UD Marbella,Spain,,out,summer,Laliga,1992,False,,1992
Burgos CF,Manolo Jiménez,35.0,Spain,Centre-Back,CB,,Retired,,,out,summer,Laliga,1992,False,,1992
Burgos CF,Gabi Balint,29.0,Romania,Centre-Forward,CF,,Retired,,,out,summer,Laliga,1992,False,,1992
CA Osasuna,Roman Kosecki,26.0,Poland,Centre-Forward,CF,,Galatasaray,Turkey,,in,summer,Laliga,1992,False,,1992
CA Osasuna,Patxi Iru,29.0,Spain,Goalkeeper,GK,,Athletic,Spain,,in,summer,Laliga,1992,False,,1992
CA Osasuna,Sánchez Jara,22.0,Spain,midfield,midfield,,Unknown,,,in,summer,Laliga,1992,False,,1992
CA Osasuna,Jesús Unanua,23.0,Spain,Goalkeeper,GK,,Albacete,Spain,,out,summer,Laliga,1992,False,,1992
CA Osasuna,Miguel Sola,34.0,Spain,Attacking Midfield,AM,,Retired,,,out,summer,Laliga,1992,False,,1992
CA Osasuna,Fermín De Luis,28.0,Spain,defence,defence,,Retired,,,out,summer,Laliga,1992,False,,1992
CD Logroñés (liq.),Oleg Salenko,22.0,Russia,Centre-Forward,CF,,Dynamo Kyiv,Ukraine,,in,summer,Laliga,1992,False,,1992
CD Logroñés (liq.),Marcelo Vega,20.0,Chile,Attacking Midfield,AM,,Española,Chile,,in,summer,Laliga,1992,False,,1992
CD Logroñés (liq.),Amarildo,27.0,Brazil,attack,attack,,Famalicão,Portugal,,in,summer,Laliga,1992,False,,1992
CD Logroñés (liq.),Francisco Antón,24.0,Spain,Left-Back,LB,,UD Salamanca,Spain,,in,summer,Laliga,1992,False,,1992
CD Logroñés (liq.),Toni Polster,28.0,Austria,Centre-Forward,CF,,Rayo Vallecano,Spain,,out,summer,Laliga,1992,False,,1992
CD Logroñés (liq.),Juan José Elgezabal,28.0,Spain,Central Midfield,CM,,Espanyol,Spain,,out,summer,Laliga,1992,False,,1992
CD Logroñés (liq.),José María López,26.0,Spain,Left-Back,LB,,CP Mérida,Spain,,out,summer,Laliga,1992,False,,1992
CD Logroñés (liq.),Rubén Da Silva,24.0,Uruguay,Centre-Forward,CF,,River Plate,Argentina,,out,summer,Laliga,1992,False,,1992
CD Logroñés (liq.),Salva,31.0,Spain,Centre-Back,CB,,Retired,,,out,summer,Laliga,1992,False,,1992
CD Logroñés (liq.),Víctor Torres Mestre,22.0,Spain,Left-Back,LB,,Real Madrid B,Spain,,in,winter,Laliga,1992,False,,1992
CD Tenerife,José Manuel Ochotorena,31.0,Spain,Goalkeeper,GK,,Valencia,Spain,,in,summer,Laliga,1992,False,,1992
CD Tenerife,César Gómez,24.0,Spain,Centre-Back,CB,,Real Valladolid,Spain,,in,summer,Laliga,1992,False,,1992
CD Tenerife,Alexis Trujillo,26.0,Spain,midfield,midfield,,UD Las Palmas,Spain,,in,summer,Laliga,1992,False,,1992
CD Tenerife,José del Solar,24.0,Peru,Central Midfield,CM,,CDUC,Chile,,in,summer,Laliga,1992,False,,1992
CD Tenerife,Ezequiel Castillo,25.0,Argentina,Central Midfield,CM,,Espanyol,Spain,,in,summer,Laliga,1992,False,,1992
CD Tenerife,Quique Estebaranz,26.0,Spain,Centre-Forward,CF,,FC Barcelona,Spain,,out,summer,Laliga,1992,False,,1992
CD Tenerife,Francis,29.0,Spain,midfield,midfield,,Atl. Marbella,Spain,,out,summer,Laliga,1992,False,,1992
CD Tenerife,Salvador Revert,30.0,Spain,defence,defence,,Retired,,,out,summer,Laliga,1992,False,,1992
CD Tenerife,Diego Latorre,23.0,Argentina,Second Striker,SS,,Fiorentina,Italy,,in,winter,Laliga,1992,False,,1992
Celta de Vigo,Santiago Cañizares,22.0,Spain,Goalkeeper,GK,,Real Madrid,Spain,343000.0,in,summer,Laliga,1992,True,loan with fee,1992
Celta de Vigo,Ismael Urzaiz,20.0,Spain,Centre-Forward,CF,,Real Madrid,Spain,0.0,in,summer,Laliga,1992,True,free loan,1992
Celta de Vigo,Patxi Salinas,28.0,Spain,Centre-Back,CB,,Athletic,Spain,,in,summer,Laliga,1992,False,,1992
Celta de Vigo,Vicente Engonga,26.0,Spain,Central Midfield,CM,,Real Valladolid,Spain,,in,summer,Laliga,1992,False,,1992
