club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status,Year
AC Le Havre,Didier Angibeaud,17.0,Cameroon,Centre-Forward,CF,,Unknown,,,in,summer,Ligue 1,1992,False,,1992
AC Le Havre,Jean-Roch Testa,27.0,France,attack,attack,,FC Gueugnon,France,,in,summer,Ligue 1,1992,False,,1992
AC Le Havre,Gia Guruli,28.0,Georgia,Centre-Forward,CF,,GKS Katowice,Poland,,in,summer,Ligue 1,1992,False,,1992
AC Le Havre,Michel Rio,29.0,France,Attacking Midfield,AM,,SM Caen,France,,in,summer,Ligue 1,1992,False,,1992
AC Le Havre,Vaclav Danek,31.0,Czech Republic,Centre-Forward,CF,,FC Tirol,Austria,,out,summer,Ligue 1,1992,False,,1992
AC Le Havre,Graham Rix,34.0,England,Left Midfield,LM,,Dundee FC,Scotland,,out,summer,Ligue 1,1992,False,,1992
AC Le Havre,Patrice Garande,31.0,France,Centre-Forward,CF,,FC Sochaux,France,,out,summer,Ligue 1,1992,False,,1992
AC Le Havre,Jean-Roch Testa,28.0,France,attack,attack,,FC Martigues,France,0.0,out,winter,Ligue 1,1992,True,free loan,1992
AJ Auxerre,Moussa Saïb,23.0,Algeria,Left Midfield,LM,,JS Kabylie,Algeria,38000.0,in,summer,Ligue 1,1992,False,,1992
AJ Auxerre,Frank Verlaat,24.0,Netherlands,Centre-Back,CB,,Lausanne-Sport,Switzerland,,in,summer,Ligue 1,1992,False,,1992
AJ Auxerre,Lilian Laslandes,20.0,France,Centre-Forward,CF,,AS Saint-Seurin,France,,in,summer,Ligue 1,1992,False,,1992
AJ Auxerre,Thierry Bonalair,26.0,France,Left-Back,LB,,FC Nantes,France,,in,summer,Ligue 1,1992,False,,1992
AJ Auxerre,Franco Vignola,25.0,France,attack,attack,,Guingamp,France,0.0,out,summer,Ligue 1,1992,True,free loan,1992
AJ Auxerre,Frédéric Darras,25.0,France,Right-Back,RB,,FC Sochaux,France,,out,summer,Ligue 1,1992,False,,1992
AJ Auxerre,Zbigniew Kaczmarek,30.0,Poland,Defensive Midfield,DM,,Guingamp,France,,out,summer,Ligue 1,1992,False,,1992
AJ Auxerre,Jean-Marc Ferreri,29.0,France,Attacking Midfield,AM,,Marseille,France,,out,summer,Ligue 1,1992,False,,1992
AJ Auxerre,Alain Roche,24.0,France,Centre-Back,CB,,Paris SG,France,,out,summer,Ligue 1,1992,False,,1992
AS Monaco,Jürgen Klinsmann,27.0,Germany,Centre-Forward,CF,,Inter,Italy,7000000.0,in,summer,Ligue 1,1992,False,,1992
AS Monaco,Sylvain Legwinski,19.0,France,Left Midfield,LM,,Racing Club Vichy,France,0.0,in,summer,Ligue 1,1992,False,,1992
AS Monaco,Christian Perez,29.0,France,Attacking Midfield,AM,,Paris SG,France,,in,summer,Ligue 1,1992,False,,1992
AS Monaco,Franck Dumas,24.0,France,Centre-Back,CB,,SM Caen,France,,in,summer,Ligue 1,1992,False,,1992
AS Monaco,Stjepan Andrijasevic,25.0,Croatia,Right Midfield,RM,,Hajduk Split,Croatia,,in,summer,Ligue 1,1992,False,,1992
AS Monaco,Luiz Henrique,23.0,Brazil,Central Midfield,CM,,Palmeiras,Brazil,,in,summer,Ligue 1,1992,False,,1992
AS Monaco,Denis Schaer,29.0,France,midfield,midfield,,Annecy FC,France,,in,summer,Ligue 1,1992,False,,1992
AS Monaco,George Weah,25.0,Liberia,Centre-Forward,CF,,Paris SG,France,6500000.0,out,summer,Ligue 1,1992,False,,1992
AS Monaco,James Debbah,22.0,Liberia,Centre-Forward,CF,,Olympique Lyon,France,0.0,out,summer,Ligue 1,1992,False,,1992
AS Monaco,John Sivebaek,30.0,Denmark,Right-Back,RB,,Pescara,Italy,,out,summer,Ligue 1,1992,False,,1992
AS Monaco,Roger Mendy,32.0,Senegal,Sweeper,SW,,Pescara,Italy,,out,summer,Ligue 1,1992,False,,1992
AS Monaco,Jimmy Algérino,20.0,France,Right-Back,RB,,SAS Epinal,France,,out,summer,Ligue 1,1992,False,,1992
AS Monaco,Gérald Passi,28.0,France,Attacking Midfield,AM,,Saint-Étienne,France,,out,summer,Ligue 1,1992,False,,1992
AS Monaco,Benjamin Clément,26.0,France,Defensive Midfield,DM,,FC Sochaux,France,,out,summer,Ligue 1,1992,False,,1992
AS Monaco,Christophe Robert,28.0,France,Left Winger,LW,,US Valenciennes,France,,out,summer,Ligue 1,1992,False,,1992
AS Monaco,Christophe Métais,24.0,France,midfield,midfield,,Retired,,,out,summer,Ligue 1,1992,False,,1992
AS Saint-Étienne,Miklos Molnar,22.0,Denmark,Centre-Forward,CF,,Standard Liège,Belgium,,in,summer,Ligue 1,1992,False,,1992
AS Saint-Étienne,Gérald Passi,28.0,France,Attacking Midfield,AM,,Monaco,France,,in,summer,Ligue 1,1992,False,,1992
AS Saint-Étienne,Stéphane Santini,19.0,France,Right Midfield,RM,,Unknown,,,in,summer,Ligue 1,1992,False,,1992
AS Saint-Étienne,Robin Huc,27.0,France,Goalkeeper,GK,,Toulouse,France,,in,summer,Ligue 1,1992,False,,1992
AS Saint-Étienne,Pascal Despeyroux,27.0,France,Defensive Midfield,DM,,Toulouse,France,,in,summer,Ligue 1,1992,False,,1992
AS Saint-Étienne,Pierre Haon,25.0,France,Defensive Midfield,DM,,Perpignan,France,,out,summer,Ligue 1,1992,False,,1992
AS Saint-Étienne,Fabrice Mège,27.0,France,Attacking Midfield,AM,,OGC Nice,France,,out,summer,Ligue 1,1992,False,,1992
AS Saint-Étienne,Gilles Giuliano,21.0,France,Centre-Back,CB,,Unknown,,,out,summer,Ligue 1,1992,False,,1992
AS Saint-Étienne,Dominique Corroyer,27.0,France,Centre-Forward,CF,,US Valenciennes,France,,out,summer,Ligue 1,1992,False,,1992
AS Saint-Étienne,Gilbert Ceccarelli,29.0,France,Goalkeeper,GK,,Olympique Alès,France,,out,summer,Ligue 1,1992,False,,1992
AS Saint-Étienne,Franck Solacroup,21.0,France,midfield,midfield,,Toulouse Font.,France,,out,summer,Ligue 1,1992,False,,1992
AS Saint-Étienne,Thierry Courault,27.0,France,midfield,midfield,,Retired,,,out,summer,Ligue 1,1992,False,,1992
AS Saint-Étienne,Milan Luhovy,30.0,Slovakia,Centre-Forward,CF,,Without Club,,,in,winter,Ligue 1,1992,False,,1992
FC Girondins Bordeaux,Zinédine Zidane,20.0,France,Attacking Midfield,AM,,Cannes,France,7000000.0,in,summer,Ligue 1,1992,False,,1992
FC Girondins Bordeaux,Laurent Croci,27.0,France,Right-Back,RB,,FC Sochaux,France,,in,summer,Ligue 1,1992,False,,1992
FC Girondins Bordeaux,Philippe Lucas,28.0,France,Defensive Midfield,DM,,FC Sochaux,France,,in,summer,Ligue 1,1992,False,,1992
FC Girondins Bordeaux,Márcio Santos,22.0,Brazil,Centre-Back,CB,,Botafogo,Brazil,,in,summer,Ligue 1,1992,False,,1992
FC Girondins Bordeaux,Jean-Francois Daniel,28.0,France,Central Midfield,CM,,Cannes,France,,in,summer,Ligue 1,1992,False,,1992
FC Girondins Bordeaux,Michel Flos,27.0,France,Attacking Midfield,AM,,Endoume,France,,in,summer,Ligue 1,1992,False,,1992
FC Girondins Bordeaux,Christophe Vecchioni,23.0,France,Left-Back,LB,,Endoume,France,,in,summer,Ligue 1,1992,False,,1992
