club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status,Year
Arsenal FC,John Jensen,27.0,Denmark,Central Midfield,CM,,Bröndby IF,Denmark,1600000.0,in,summer,Premier League,1992,False,,1992
Arsenal FC,David Rocastle,25.0,England,Attacking Midfield,AM,,Leeds,England,2400000.0,out,summer,Premier League,1992,False,,1992
Arsenal FC,Perry Groves,27.0,England,Left Winger,LW,,Southampton,England,850000.0,out,summer,Premier League,1992,False,,1992
Arsenal FC,Gary McKeown,21.0,England,midfield,midfield,,Dundee FC,Scotland,,out,summer,Premier League,1992,False,,1992
Arsenal FC,Ty Gooden,19.0,England,midfield,midfield,,Wycombe,England,,out,summer,Premier League,1992,False,,1992
Arsenal FC,Martin Keown,26.0,England,Centre-Back,CB,,Everton,England,3000000.0,in,winter,Premier League,1992,False,,1992
Aston Villa,Dean Saunders,28.0,Wales,Centre-Forward,CF,,Liverpool,England,2850000.0,in,summer,Premier League,1992,False,,1992
Aston Villa,Ray Houghton,30.0,Ireland,Central Midfield,CM,,Liverpool,England,1080000.0,in,summer,Premier League,1992,False,,1992
Aston Villa,Gareth Farrelly,16.0,Ireland,Left Midfield,LM,,Home Farm,Ireland,0.0,in,summer,Premier League,1992,False,,1992
Aston Villa,Frank McAvennie,32.0,Scotland,Centre-Forward,CF,,West Ham,England,,in,summer,Premier League,1992,False,,1992
Aston Villa,Ian Olney,22.0,England,Centre-Forward,CF,,Oldham Athletic,England,894000.0,out,summer,Premier League,1992,False,,1992
Aston Villa,Kent Nielsen,30.0,Denmark,Centre-Back,CB,,Aarhus GF,Denmark,0.0,out,summer,Premier League,1992,False,,1992
Aston Villa,Les Sealey,35.0,England,Goalkeeper,GK,,Birmingham,England,0.0,out,summer,Premier League,1992,True,free loan,1992
Aston Villa,Martin Carruthers,20.0,England,Centre-Forward,CF,,Hull City,England,0.0,out,summer,Premier League,1992,True,free loan,1992
Aston Villa,Ivo Stas,27.0,Czech Republic,defence,defence,,Banik Ostrava,Czech Republic,,out,summer,Premier League,1992,False,,1992
Aston Villa,Henrik Larsen,26.0,Denmark,Attacking Midfield,AM,,Lyngby FC,Denmark,,in,winter,Premier League,1992,False,,1992
Aston Villa,David Farrell,21.0,England,midfield,midfield,,Scunthorpe Utd.,England,0.0,out,winter,Premier League,1992,True,free loan,1992
Aston Villa,Les Sealey,35.0,England,Goalkeeper,GK,,Man Utd,England,0.0,out,winter,Premier League,1992,False,,1992
Aston Villa,Les Sealey,35.0,England,Goalkeeper,GK,,Birmingham,England,0.0,out,winter,Premier League,1992,True,free loan,1992
Aston Villa,Martin Carruthers,20.0,England,Centre-Forward,CF,,Hull City,England,0.0,out,winter,Premier League,1992,True,free loan,1992
Aston Villa,Lee Williams,19.0,England,midfield,midfield,,Shrewsbury,England,0.0,out,winter,Premier League,1992,True,free loan,1992
Blackburn Rovers,Alan Shearer,21.0,England,Centre-Forward,CF,,Southampton,England,4500000.0,in,summer,Premier League,1992,False,,1992
Blackburn Rovers,Stuart Ripley,24.0,England,Right Winger,RW,,Middlesbrough,England,2000000.0,in,summer,Premier League,1992,False,,1992
Blackburn Rovers,Tim Sherwood,23.0,England,Central Midfield,CM,,Norwich,England,750000.0,in,summer,Premier League,1992,False,,1992
Blackburn Rovers,Patrik Andersson,20.0,Sweden,Centre-Back,CB,,Malmö FF,Sweden,500000.0,in,summer,Premier League,1992,False,,1992
Blackburn Rovers,Lee Makel,19.0,England,Attacking Midfield,AM,,Newcastle,England,240000.0,in,summer,Premier League,1992,False,,1992
Blackburn Rovers,Wayne Burnett,20.0,England,midfield,midfield,,Leyton Orient,England,96000.0,in,summer,Premier League,1992,False,,1992
Blackburn Rovers,Nicky Marker,27.0,England,Centre-Back,CB,,Plymouth,England,,in,summer,Premier League,1992,False,,1992
Blackburn Rovers,Mickey Evans,19.0,Ireland,Centre-Forward,CF,,Plymouth,England,0.0,in,summer,Premier League,1992,True,free loan,1992
Blackburn Rovers,Duncan Shearer,29.0,Scotland,Centre-Forward,CF,,Aberdeen FC,Scotland,750000.0,out,summer,Premier League,1992,False,,1992
Blackburn Rovers,David Speedie,32.0,Scotland,Centre-Forward,CF,,Southampton,England,600000.0,out,summer,Premier League,1992,False,,1992
Blackburn Rovers,Simon Garner,32.0,England,Centre-Forward,CF,,West Brom,England,35000.0,out,summer,Premier League,1992,False,,1992
Blackburn Rovers,Keith Hill,23.0,England,Centre-Back,CB,,Plymouth,England,,out,summer,Premier League,1992,False,,1992
Blackburn Rovers,Scott Sellars,26.0,England,Left Midfield,LM,,Leeds,England,,out,summer,Premier League,1992,False,,1992
Blackburn Rovers,Nicky Reid,31.0,England,Centre-Back,CB,,Bristol City,England,0.0,out,summer,Premier League,1992,True,free loan,1992
Blackburn Rovers,Stuart Munro,29.0,Scotland,Left-Back,LB,,Bristol City,England,,out,summer,Premier League,1992,False,,1992
Blackburn Rovers,Peter Baah,19.0,England,Right Winger,RW,,Fulham,England,,out,summer,Premier League,1992,False,,1992
Blackburn Rovers,Howard Gayle,34.0,England,Right Winger,RW,,Halifax Town,England,,out,summer,Premier League,1992,False,,1992
Blackburn Rovers,Lenny Johnrose,22.0,England,Defensive Midfield,DM,,Hartlepool Utd.,England,,out,summer,Premier League,1992,False,,1992
Blackburn Rovers,Lee Richardson,23.0,England,midfield,midfield,,Aberdeen FC,Scotland,,out,summer,Premier League,1992,False,,1992
