,name,last_season,average_value
0,A.J. Soares,2016.0,218750.0
1,AJ Leitch-Smith,2017.0,121428.57142857143
2,Aaron Appindangoyé,2023.0,833333.3333333334
3,Aaron Bastiaans,2020.0,165625.0
4,Aaron Boupendza,2020.0,4266666.666666667
5,Aaron Chapman,2020.0,158333.33333333334
6,Aaron Comrie,2018.0,245000.0
7,Aaron Connolly,2022.0,5400000.0
8,Aaron Cresswell,2023.0,5869642.857142857
9,Aaron Dhondt,2016.0,183333.33333333334
10,Aaron Donnelly,2023.0,300000.0
11,Aaron Doran,2016.0,311250.0
12,Aaron Gielen,2012.0,50000.0
13,Aaron Herzog,2019.0,125000.0
14,Aaron Hickey,2023.0,8567307.692307692
15,Aaron Hughes,2018.0,2148000.0
16,Aaron Hunt,2017.0,2865151.515151515
17,Aaron Kamardin,2020.0,150000.0
18,Aaron Kuhl,2015.0,133333.33333333334
19,Aaron Lennon,2021.0,8596153.846153846
20,Aaron Lennox,2016.0,68750.0
21,Aaron Leya Iseka,2020.0,1743750.0
22,Aaron Martin,2020.0,202272.72727272726
23,Aaron Mattia Tabacchi,2018.0,90000.0
24,Aaron McCarey,2017.0,127777.77777777778
25,Aaron McEneff,2021.0,360000.0
26,Aaron McGowan,2020.0,247222.22222222222
27,Aaron McLean,2013.0,633333.3333333334
28,Aaron Meijers,2023.0,625806.4516129033
29,Aaron Mooy,2022.0,4710416.666666667
30,Aaron Muirhead,2014.0,231666.66666666666
31,Aaron Nemane,2017.0,170000.0
32,Aaron Olanare,2017.0,723958.3333333334
33,Aaron Ramsdale,2023.0,14015789.47368421
34,Aaron Ramsey,2022.0,20016176.470588237
35,Aaron Ramsey,2023.0,3100000.0
36,Aaron Rowe,2018.0,195000.0
37,Aaron Seydel,2023.0,384210.5263157895
38,Aaron Simpson,2017.0,50000.0
39,Aaron Smith,2018.0,50000.0
40,Aaron Splaine,2015.0,100000.0
41,Aaron Taylor-Sinclair,2020.0,233928.57142857142
42,Aaron Tshibola,2020.0,1021875.0
43,Aaron Verwilligen,2013.0,37500.0
44,Aaron Wan-Bissaka,2023.0,27578947.36842105
45,Aaron Wilbraham,2013.0,230769.23076923078
46,Aaron Zehnter,2023.0,300000.0
47,Aarón Escandell,2023.0,577777.7777777778
48,Aarón Martín,2023.0,9013043.47826087
49,Aarón Ñíguez,2015.0,735185.1851851852
50,Aatif Chahechouhe,2020.0,1553225.8064516129
51,Abakar Sylla,2023.0,4675000.0
52,Abass Alhassan,2014.0,40000.0
53,Abayomi Seun,2012.0,300000.0
54,Abbas Ibrahim,2022.0,200000.0
55,Abbosbek Fayzullaev,2023.0,275000.0
56,Abdallah Aberkane,2019.0,112500.0
57,Abdallah Basit,2020.0,88181.81818181818
58,Abdallah Ndour,2019.0,586764.7058823529
59,Abdallah Sima,2023.0,8428571.42857143
60,Abdallah Yaisien,2013.0,255000.0
61,Abdallahi Mahmoud,2020.0,338888.8888888889
62,Abde Ezzalzouli,2023.0,4825000.0
63,Abde Rebbach,2023.0,291666.6666666667
64,Abdel Abqar,2023.0,445000.0
65,Abdel Diarra,2015.0,187500.0
66,Abdel Malek El Hasnaoui,2015.0,140909.0909090909
67,Abdel Malik Hsissane,2018.0,235000.0
68,Abdel Medioub,2021.0,372222.22222222225
69,Abdel Mounaim El Ouazzane,2017.0,67500.0
70,Abdelaziz Barrada,2018.0,3228125.0
71,Abdelhak Nouri,2017.0,721875.0
72,Abdelhamid El Kaoutari,2016.0,1545714.2857142857
73,Abdelhamid Sabiri,2022.0,1685714.2857142857
74,Abdelkader Ghezzal,2014.0,1522222.2222222222
75,Abdelkader Oueslati,2012.0,467187.5
76,Abdelkahar Kadri,2023.0,1417500.0
77,Abdelkarim Hassan,2017.0,695000.0
78,Abdenego Nankishi,2023.0,212500.0
79,Abderahmane Soussi,2022.0,75000.0
80,Abderrahmane Yousfi,2013.0,155000.0
81,Abdiel Arroyo,2018.0,248214.2857142857
82,Abdisalam Ibrahim,2015.0,510294.1176470588
83,Abdou Aziz Thiam,2015.0,150000.0
84,Abdou Dampha,2012.0,266666.6666666667
85,Abdou Diakhate,2018.0,462500.0
86,Abdou Diallo,2022.0,13496000.0
87,Abdou Harroui,2023.0,1912500.0
88,Abdou Traoré,2016.0,786250.0
89,Abdou Traoré,2019.0,1669696.9696969697
90,Abdoul Ba,2014.0,350000.0
91,Abdoul Camara,2017.0,877500.0
92,Abdoul Hate Bane,2020.0,55000.0
93,Abdoul Kaboré,2013.0,211538.46153846153
94,Abdoul Kader Bamba,2023.0,1490909.0909090908
95,Abdoul Karim Danté,2018.0,270454.54545454547
96,Abdoul Karim Sylla,2012.0,212500.0
97,Abdoul Ouattara,2021.0,100000.0
98,Abdoul Tapsoba,2022.0,743750.0
99,Abdoul Wahid Sissoko,2018.0,925000.0
100,Abdoulay Diaby,2023.0,2840000.0
101,Abdoulay Konko,2016.0,4111538.4615384615
