club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status,Year,age_group
Arsenal Fc,John Jensen,27.0,Denmark,Central Midfield,CM,0.0,Bröndby If,Denmark,1600000.0,in,summer,Premier League,1992,False,Not Applicable,1992,25-30
Arsenal Fc,David Rocastle,25.0,England,Attacking Midfield,AM,0.0,Leeds,England,2400000.0,out,summer,Premier League,1992,False,Not Applicable,1992,20-25
Arsenal Fc,Perry Groves,27.0,England,Left Winger,LW,0.0,Southampton,England,850000.0,out,summer,Premier League,1992,False,Not Applicable,1992,25-30
Arsenal Fc,Martin Keown,26.0,England,Centre-Back,CB,0.0,Everton,England,3000000.0,in,winter,Premier League,1992,False,Not Applicable,1992,25-30
Aston Villa,Dean Saunders,28.0,Wales,Centre-Forward,CF,0.0,Liverpool,England,2850000.0,in,summer,Premier League,1992,False,Not Applicable,1992,25-30
Aston Villa,Ray Houghton,30.0,Ireland,Central Midfield,CM,0.0,Liverpool,England,1080000.0,in,summer,Premier League,1992,False,Not Applicable,1992,25-30
Aston Villa,Ian Olney,22.0,England,Centre-Forward,CF,0.0,Oldham Athletic,England,894000.0,out,summer,Premier League,1992,False,Not Applicable,1992,20-25
Blackburn Rovers,Alan Shearer,21.0,England,Centre-Forward,CF,0.0,Southampton,England,4500000.0,in,summer,Premier League,1992,False,Not Applicable,1992,20-25
Blackburn Rovers,Stuart Ripley,24.0,England,Right Winger,RW,0.0,Middlesbrough,England,2000000.0,in,summer,Premier League,1992,False,Not Applicable,1992,20-25
Blackburn Rovers,Tim Sherwood,23.0,England,Central Midfield,CM,0.0,Norwich,England,750000.0,in,summer,Premier League,1992,False,Not Applicable,1992,20-25
Blackburn Rovers,Patrik Andersson,20.0,Sweden,Centre-Back,CB,0.0,Malmö Ff,Sweden,500000.0,in,summer,Premier League,1992,False,Not Applicable,1992,<20
Blackburn Rovers,Lee Makel,19.0,England,Attacking Midfield,AM,0.0,Newcastle,England,240000.0,in,summer,Premier League,1992,False,Not Applicable,1992,<20
Blackburn Rovers,Wayne Burnett,20.0,England,Midfield,MIDFIELD,0.0,Leyton Orient,England,96000.0,in,summer,Premier League,1992,False,Not Applicable,1992,<20
Blackburn Rovers,Duncan Shearer,29.0,Scotland,Centre-Forward,CF,0.0,Aberdeen Fc,Scotland,750000.0,out,summer,Premier League,1992,False,Not Applicable,1992,25-30
Blackburn Rovers,David Speedie,32.0,Scotland,Centre-Forward,CF,0.0,Southampton,England,600000.0,out,summer,Premier League,1992,False,Not Applicable,1992,30+
Blackburn Rovers,Simon Garner,32.0,England,Centre-Forward,CF,0.0,West Brom,England,35000.0,out,summer,Premier League,1992,False,Not Applicable,1992,30+
Blackburn Rovers,Graeme Le Saux,24.0,England,Left-Back,LB,0.0,Chelsea,England,1050000.0,in,winter,Premier League,1992,False,Not Applicable,1992,20-25
Blackburn Rovers,Henning Berg,23.0,Norway,Right-Back,RB,0.0,Lillestrøm Sk,Norway,550000.0,in,winter,Premier League,1992,False,Not Applicable,1992,20-25
Blackburn Rovers,Simon Ireland,20.0,England,Midfield,MIDFIELD,0.0,Huddersfield,England,252000.0,in,winter,Premier League,1992,False,Not Applicable,1992,<20
Blackburn Rovers,Steve Livingstone,23.0,England,Centre-Forward,CF,0.0,Chelsea,England,400000.0,out,winter,Premier League,1992,False,Not Applicable,1992,20-25
Blackburn Rovers,Steve Agnew,27.0,England,Central Midfield,CM,0.0,Leicester,England,375000.0,out,winter,Premier League,1992,False,Not Applicable,1992,25-30
Chelsea Fc,Nigel Spackman,31.0,England,Central Midfield,CM,0.0,Rangers,Scotland,600000.0,in,summer,Premier League,1992,False,Not Applicable,1992,30+
Chelsea Fc,Anthony Barness,19.0,England,Right-Back,RB,0.0,Charlton,England,525000.0,in,summer,Premier League,1992,False,Not Applicable,1992,<20
Chelsea Fc,David Hopkin,22.0,Scotland,Right Midfield,RM,0.0,Morton,Scotland,450000.0,in,summer,Premier League,1992,False,Not Applicable,1992,20-25
Chelsea Fc,Mick Harford,33.0,England,Centre-Forward,CF,0.0,Luton,England,350000.0,in,summer,Premier League,1992,False,Not Applicable,1992,30+
Chelsea Fc,Mal Donaghy,34.0,Northern Ireland,Left-Back,LB,0.0,Man Utd,England,200000.0,in,summer,Premier League,1992,False,Not Applicable,1992,30+
Chelsea Fc,Ken Monkou,27.0,Netherlands,Centre-Back,CB,0.0,Southampton,England,844000.0,out,summer,Premier League,1992,False,Not Applicable,1992,25-30
Chelsea Fc,Vinnie Jones,27.0,Wales,Defensive Midfield,DM,0.0,Wimbledon Fc,England,830000.0,out,summer,Premier League,1992,False,Not Applicable,1992,25-30
Chelsea Fc,Kerry Dixon,30.0,England,Centre-Forward,CF,0.0,Southampton,England,650000.0,out,summer,Premier League,1992,False,Not Applicable,1992,25-30
